shopify_handle,sugerencia_slug_nuevo,score,gap,confianza
camisa-pin-collar,camisa-smokin-163,0.25,0.08,BAJA
panuelo-sueno-causado-por-el-vuelo-de-una-abeja-alrededor-de-una-granada-un-segundo-antes-del-despertar,panuelo-sueno-dali-tu-1078,0.13,0.06,BAJA
camisa-raya-horizontal,camisa-algodon-cuello-blanco-raya-horizontal-puno-gemelo-161,0.38,0.04,BAJA
botonadura-smoking-negra-redonda,botonadura-smoking-redonda-negra-349,1,0.4,ALTA
corbata-grenadine-marino,jersey-lambswool-marino-219,0.2,0,BAJA
americana-punta-de-lanza,americana-cashmere-gales-1277,0.2,0,BAJA
pantalon-franela-gris,pantalon-franela-gris-claro-pinza-cenidor-1376,0.5,0,MEDIA
corbata-grenadine-burdeos,bata-franela-beige-vivo-burdeos-127,0.14,0.14,BAJA
traje-azul,americana-cashmere-azul-1278,0.25,0,BAJA
camisa-pata-de-gallo,pantalon-franela-pata-de-gallo-pinza-cenidor-53,0.29,0.04,BAJA
pantalon-lana-gris-marengo,pantalon-lana-gris-marengo-plano-cinturon-62,0.67,0,MEDIA
pasador-de-cuello,camisa-cuello-vista-textura-blanca-1418,0.17,0,BAJA
fajin-negro,fajin-esmoquin-negro-828,0.67,0.42,MEDIA
americana-denim-verde,americana-denim-verde-cruzada-solapa-de-pico-1280,0.5,0,MEDIA
camisa-oxford-rayas-rojas,camisa-algodon-rayas-multicolor-174,0.33,0,BAJA
fajin-azul-marino,fajin-esmoquin-azul-marino-827,0.75,0.35,MEDIA
camisa-smoking,smoking-1002,0.5,0.17,MEDIA
pantalon-lana-gris-marengo-pinza-cenidor,pantalon-lana-gris-marengo-pinza-cenidor-61,1,0.29,ALTA
botonadura-smoking-nacar-redonda,botonadura-smoking-redonda-nacar-351,1,0.4,ALTA
americana-tecnica-azul-marino,americana-tecnica-azul-marino-1180,1,0.6,ALTA
traje-raya-diplomatica,traje-lana-gris-raya-diplomatica-bolsillo-incl-cer-ext-106,0.33,0,BAJA
pantalon-vaquero-azul,pantalon-vaquero-algodon-azul-pinza-cenidor-1374,0.5,0.21,MEDIA
corbata-7-pliegues-burdeos,bata-franela-beige-vivo-burdeos-127,0.13,0.01,BAJA
gabardina-reversible-cuadro-beige,gabardina-cashmere-camel-reversible-123,0.33,0,BAJA
americana-tecnica-verde,americana-tecnica-verde-1416,1,0.6,ALTA
sobrecamisa-verde-tecnico,sobrecamisa-lana-verde-cuatro-bolsillos-1177,0.33,0,BAJA
corbata-grenadine-topo,americana-pana-topo-bolsillo-de-parche-96,0.14,0,BAJA
camisa-raya-candela-gemelo,camisa-algodon-raya-candela-celeste-puno-gemelo-159,0.57,0.2,MEDIA
camisa-oxford-azul-y-blanca,camisa-algodon-oxford-blanca-button-down-166,0.43,0.05,BAJA
pantalon-pana-azul,pantalon-pana-azul-cenidor-2-pliegues-1304,0.5,0.17,MEDIA
camisa-rayas-canclini,camisa-algodon-rayas-multicolor-174,0.4,0,BAJA
sobrecamisa-verde,sobrecamisa-lana-verde-cuatro-bolsillos-1177,0.4,0.15,BAJA
teba-cheviot-marron,teba-prats-cheviot-lana-marron-1306,0.6,0.2,MEDIA
pantalon-algodon-blanco,pantalon-algodon-blanco-cenidor-36,0.75,0.35,MEDIA
camisa-cuadro-ventana,camisa-franela-cuadro-ventana-180,0.75,0.35,MEDIA
americana-cashmere-marino,americana-cashmere-gales-1277,0.5,0,MEDIA
pantalon-tecnico-cargo-verde-copia,pantalon-cargo-tecnico-verde-cenidor-plano-45,0.67,0.1,MEDIA
pantalon-tecnico-azul-marino,pantalon-tecnico-marino-cenidor-plano-1187,0.5,0.07,MEDIA
blazer-cruzado-punta-de-lanza,abrigo-lana-marron-cruzado-118,0.14,0.14,BAJA
san-jorge,,0,0,BAJA
traje-gris-1,traje-lana-gris-bolsillo-inclinado-cer-exterior-105,0.29,0.04,BAJA
camisa-raya-blanca-y-azul,camisa-raya-azul-con-negro-canclin-1417,0.5,0.07,MEDIA
pantalon-lana-gris-marengo-plano-cinturon,pantalon-lana-gris-marengo-plano-cinturon-62,1,0.17,ALTA
traje-testigo-marino,traje-testigo-lana-marino-bolsillo-recto-107,0.5,0,MEDIA
smoking,smoking-1002,1,0.75,ALTA
camisa-raya-ancha,camisa-raya-azul-con-negro-canclin-1417,0.33,0.05,BAJA
camisa-raya-tricolor,camisa-algodon-raya-tricolor-azul-blanco-rojo-1179,0.43,0.1,BAJA
pantalon-lana-marino-pinza-cenidor,pantalon-lana-marino-pinza-cenidor-63,1,0.43,ALTA
americana-franela-gales,americana-cashmere-gales-1277,0.5,0.17,MEDIA
camisa-raya-blanca-fondo-marino,camisa-algodon-raya-blanca-fondo-marino-1178,0.83,0.58,ALTA
pantalon-vaquero-verde,pantalon-denim-verde-cenidor-1392,0.4,0.07,BAJA
gabardina-reversible-espiga-marino,gabardina-cashmere-camel-reversible-123,0.33,0,BAJA
polera-marron,jersey-lambswool-marron-224,0.25,0,BAJA
americana-franela-gales-marron-copia,americana-cashmere-gales-1277,0.4,0.11,BAJA
pantalon-algodon-beige,pantalon-algodon-beige-cenidor-41,0.75,0.25,MEDIA
pantalon-lana-gris-medio-plano-cinturon,pantalon-lana-gris-plano-cinturon-59,0.83,0.12,ALTA
corbata-grenadine-verde,jersey-lambswool-verde-228,0.2,0,BAJA
saint-tropez,panuelo-saint-tropez-369,0.67,0.67,MEDIA
panuelo-1,panuelo-samurai-371,0.5,0,MEDIA
camisa-fil-a-fil-celeste,calzoncillo-fil-a-fil-celeste-983,0.6,0.03,MEDIA
teba-cheviot-azul,teba-prats-cheviot-azul-1307,0.75,0.42,MEDIA
americana-lana-roja,americana-lana-sarga-azul-917,0.4,0.07,BAJA
gabardina-reversible-marron,gabardina-cheviot-marron-reversible-125,0.75,0.35,MEDIA
gabardina-reversible-cashmere-marino,gabardina-cashmere-camel-reversible-123,0.6,0.1,MEDIA
panuelo-el-bote-blanco,panuelo-el-bote-blanco-sorolla-tu-1077,0.6,0.35,MEDIA
camisa-oxford-rayas-azul-marino,camisa-algodon-oxford-azul-medio-button-down-165,0.33,0.03,BAJA
camisa-milrayas-azul,camisa-algodon-cuadros-finos-azul-755,0.33,0,BAJA
sobrecamisa-gris-franela,sobrecamisa-franela-gris-claro-915,0.75,0.46,MEDIA
camisa-fil-a-fil-rosa,camisa-algodon-fil-a-fil-rosa-puno-gemelo-153,0.57,0.2,MEDIA
samurai-2,panuelo-samurai-371,0.5,0.5,MEDIA
pantalon-algodon-cargo-crema,pantalon-cargo-algodon-ppt-cenidor-plano-1188,0.43,0.03,BAJA
